SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
SRR493099_1_fastqc.zip,1,1,-1,1,0,-1,1,1,-1,-1,1
